country,colonial_rulers
afghanistan,"united_kingdom, russia"
angola,portugal
bangladesh,"united_kingdom, india"
benin,france
bhutan,"united_kingdom, india"
burkina_faso,france
burundi,"germany, belgium"
cambodia,france
central_african_republic,france
chad,france
comoros,france
democratic_republic_of_congo,belgium
djibouti,france
east_timor,portugal
eritrea,"ethiopia, italy, united_kingdom"
ethiopia,
gambia,united_kingdom
guinea,france
guinea-bissau,portugal
haiti,france
kiribati,"united_kingdom, united_states"
laos,france
lesotho,united_kingdom
liberia,united_states
madagascar,france
malawi,united_kingdom
mali,france
mauritania,france
mozambique,portugal
myanmar,united_kingdom
nepal,
niger,france
rwanda,"belgium, germany"
sao_tome_and_principe,portugal
senegal,france
sierra_leone,united_kingdom
solomon_islands,"united_kingdom, germany"
somalia,"united_kingdom, italy, france"
south_sudan,"egypt, united_kingdom"
sudan,"united_kingdom, egypt"
tanzania,"united_kingdom, germany"
togo,"germany, france"
tuvalu,"united_kingdom, united_states"
uganda,united_kingdom
vanuatu,"france, united_kingdom"
yemen,united_kingdom
zambia,united_kingdom
